id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
107	"yang, bo"	0.6027	-0.7342	22	2	2	1	1	0.25	2024	1	0.25
108	"yang, laurence t."	0.8174	-0.3868	14	4	4	1	5	0.2326	2022	5	0.2326
109	"yao, lina"	0.1635	0.0174	18	3	3	1	21	0.9767	2022	21	0.9767
110	"ye, yangdong"	0.2067	-0.0036	18	3	3	1	21	0.9767	2022	21	0.9767
111	"yi, yinxue"	0.8679	-0.3874	14	4	4	1	5	0.2326	2022	5	0.2326
112	"yu, keping"	0.1702	-0.8578	4	4	4	1	90	4.186	2022	90	4.186
113	"yu, shui"	-0.117	0.5959	10	5	5	1	11	2.75	2024	11	2.75
114	"yu, zhiwen"	0.5959	-0.7751	22	2	2	1	1	0.25	2024	1	0.25
115	"yuan, xu"	-0.8866	0.1288	1	4	4	1	47	1.5667	2020	47	1.5667
116	"zhang, hongfei"	0.3156	0.3803	3	7	7	1	5	0.2326	2022	5	0.2326
117	"zhang, kai"	0.5255	-0.0686	9	5	5	1	0	0	2024	0	0
118	"zhang, kaiqi"	0.2454	0.3675	3	7	7	1	5	0.2326	2022	5	0.2326
119	"zhang, li"	0.3194	0.4507	3	7	7	1	5	0.2326	2022	5	0.2326
120	"zhang, liwen"	0.3419	0.3145	3	7	7	1	5	0.2326	2022	5	0.2326
121	"zhang, xianchao"	-0.5717	0.7853	17	3	3	1	4	0.2388	2021	4	0.2388
122	"zhang, zufan"	0.842	-0.4647	14	4	4	1	5	0.2326	2022	5	0.2326
123	"zhao, nan"	0.7468	0.3605	13	4	4	1	12	0.4	2020	12	0.4
124	"zheng, jiaqi"	-0.8323	0.0661	1	9	10	2	78	2.6	2020	39	1.3
125	"zhong, lihong"	0.1866	-0.0466	18	3	3	1	21	0.9767	2022	21	0.9767
126	"zhou, ri-gui"	-0.7537	0.0231	1	6	6	1	31	1.0333	2020	31	1.0333
127	"zhou, zhiyong"	-0.4078	-0.7875	7	6	6	1	21	0.9767	2022	21	0.9767
128	"zhu, li"	0.3735	0.4212	3	7	7	1	5	0.2326	2022	5	0.2326
